title|member|summary|year|age|information|genre|image|ott
별에서 온 그대|전지현, 김수현, 박해진, 유인나, 신성록 外|400년 전 지구에 떨어진 외계남 도민준과 왕싸가지 한류여신 톱스타 천송이의 기적과도 같은 달콤 발랄 로맨스|2013|15|21부작|ROMANCE, COMEDY, FANTASY, HISTORICAL|mlfts.png|NETFLIX, COUPANGPLAY, WAVVE, WATCHA, UPLUS
상속자들|이민호, 박신혜, 김우빈, 정수정, 김지원, 강민혁 外|명문 사립 귀족 고등학교, 제국고에 사회배려자 전형으로 입학하게 된 차은상. 상속받은 거라곤 가난밖에 없어 그들 사이에서 악착같이 버텨나가던 은상의 앞에 제국그룹 상속자 김탄이 나타난다.|2013|15|20부작|ROMANCE, COMEDY, ACADEMY, YOUTH|theheirs.png|NETFLIX, COUPANGPLAY, WAVVE, WATCHA
주군의 태양|소지섭, 공효진, 서인국, 김유리 外|인색하고 욕심 많은 유아독존 사장님과 음침하고 눈물 많은 영감 발달 여직원이 무섭지만 슬픈 사연을 지닌 영혼들을 위령하는 로코믹 호러 드라마|2013|15|17부작|HORROR, ROMANCE, MELO, COMEDY|kingssun.png|COUPANGPLAY, WAVVE, WATCHA
응답하라 1994|고아라, 성동일, 이일화, 정우, 유연석, 김성균, 손호준, 차선우, 민도희 外|1994년을 배경으로, 지방 사람들의 눈물겨운 상경기와 농구대잔치, 서태지와 아이들 등의 사회적 이슈를 담은 드라마|2013|15|21부작|PERIOD, ROMANCE, FAMILY, DAILY|reply1994.png|TVING, DISNEYPLUS
피노키오|이종석, 박신혜, 김영광, 이유비 外|진실을 추적하는 사회부 기자들의 삶과 24시간을 늘 함께하며 전쟁같이 보내는 이들이 그 안에서 서서히 설레는 시간으로 변해가는 풋풋한 청춘을 그린 드라마|2014|15|20부작|FANTASY, MELO, ROMANCE, COMEDY|pinocchio.png|WAVVE, WATCHA
응답하라 1988|혜리, 안재홍, 류준열, 고경표, 박보검, 이동휘 外|쌍팔년도 쌍문동, 한 골목 다섯 가족의 왁자지껄 코믹 가족극|2015|15|20부작|PERIOD, ROMANCE, FAMILY, DAILY|reply1988.png|NETFLIX, TVING, DISNEYPLUS
프로듀사|차태현, 공효진, 김수현, 아이유 外|힘들게 쌓아온 스펙대신 웃음을 만드는 것과 수려한 말빨이 필요한 KBS 예능국. 뮤직뱅크 피디 예진과 1박 2일 피디 준모, 신입 피디 승찬, 가수 신디는 그곳에서 살아남아야 한다.|2015|15|12부작|COMEDY, ROMANCE, DRAMA|producers.png|COUPANGPLAY, WAVVE, WATCHA
킬미, 힐미|지성, 황정음, 박서준, 김유리, 오민석 外|다중인격장애를 소재로, 일곱 개의 인격을 가진 재벌 3세와 그의 비밀주치의가 된 레지던트 1년 차 여의사의 버라이어티한 로맨스를 그린 힐링 로맨틱코미디 드라마|2015|15|20부작|MELO, ROMANCE, COMEDY, DRAMA, PSYCHOLOGICAL|killmehealme.png|WAVVE, WATCHA
태양의 후예|송중기, 송혜교, 진구, 김지원 外|낯선 땅 극한의 환경 속에서 사랑과 성공을 꿈꾸는 젊은 군인과 의사들을 통해 삶의 가치를 담아낼 블록버스터급 휴먼 멜로 드라마|2016|15|16부작|DRAMA, ROMANCE, COMEDY, ACTION, MEDICAL, HUMAN, POLITICAL|dofs.png|COUPANGPLAY, WAVVE, WATCHA
쓸쓸하고 찬란하神 도깨비|공유, 이동욱, 김고은, 유인나, 육성재 外|불멸의 삶을 끝내기 위해 인간 신부가 필요한 도깨비, 그와 기묘한 동거를 시작한 기억상실증 저승사자. 그런 그들 앞에 '도깨비 신부'라 주장하는 '죽었어야 할 운명'의 소녀가 나타나며 벌어지는 신비로운 낭만 설화|2016|15|16부작|FANTASY, ROMANCE, COMEDY|goblin.png|NETFLIX, TVING, DISNEYPLUS
질투의 화신|공효진, 조정석, 고경표, 이미숙 外|질투라곤 몰랐던 마초 기자와 재벌남이 생계형 기상캐스터를 만나 질투로 스타일 망가져 가며 애정을 구걸하는 양다리 로맨스|2016|15|24부작|DRAMA, MELO, ROMANCE, COMEDY|ddtd.png|COUPANGPLAY, WAVVE, WATCHA
달의 연인 - 보보경심 려|이준기, 아이유, 강하늘, 홍종현 外|달그림자가 태양을 검게 물들인 날. 상처 입은 짐승 같은 사내, 4황자 '왕소'와 21세기 여인 '고하진'의 영혼이 미끄러져 들어간 고려 소녀 '해수'가 천 년의 시공간을 초월해 만난다.|2016|15|20부작|HISTORICAL, FANTASY, ROMANCE|moonlovers.png|NETFLIX, COUPANGPLAY, WAVVE, WATCHA
군주 - 가면의 주인|유승호, 김소현, 엘, 윤소희 外|조선 팔도의 물을 사유해 강력한 부와 권력을 얻은 조직 편수회와 맞서 싸우는 왕세자의 의로운 사투를 그린 드라마|2017|15|40부작|HISTORICAL, POLITICAL, ROMANCE|king.png|WAVVE
언터처블|진구, 김성균, 고준희, 정은지 外|가상의 도시 북천시를 배경으로 3대에 걸쳐 북천시를 지배하고 있는 장씨 일가를 둘러싼 권력 암투와 그 속의 숨겨진 비밀을 다룬 이야기|2017|15|16부작|POLITICAL, THRILLER, DRAMA|untouchable.png|TVING
쌈, 마이웨이|박서준, 김지원, 안재홍, 송하윤 外|세상이 보기엔 부족한 스펙 때문에 마이너 인생을 강요하는 현실 속에서도, 남들이 뭐라던 '마이웨이'를 가려는 마이너리그 청춘들의 골 때리는 성장로맨스를 담은 드라마|2017|15|16부작|ROMANCE, COMEDY, YOUTH|sammyway.png|COUPANGPLAY, WAVVE, WATCHA
나의 아저씨|이선균, 아이유 外|삶의 무게를 버티며 살아가는 아저씨 삼 형제와 거칠게 살아온 한 여성이 서로를 통해 삶을 치유하게 되는 이야기|2018|15|16부작|DRAMA, HUMAN, HEALING|mymister.png|NETFLIX, TVING, DISNEYPLUS
술꾼도시여자들2|이선빈, 한선화, 정은지, 최시원 外|하루 끝의 술 한잔이 인생의 신념인 세 여자의 일상을 그린 본격 '기승전술' 드라마, 그 두 번째 이야기|2022|19|12부작|COMEDY, FRIENDSHIP, DRAMA|wldn2.png|TVING
